group,word,mean_tfidf
Beauty & Personal Care,great,0.026991320637929826
Beauty & Personal Care,love,0.026794997188556453
Beauty & Personal Care,hair,0.026428431464954466
Beauty & Personal Care,product,0.02548560726545307
Beauty & Personal Care,stars,0.02536161582887177
Beauty & Personal Care,not,0.021420958210907115
Beauty & Personal Care,good,0.019615225646519074
Beauty & Personal Care,use,0.0151065080935281
Beauty & Personal Care,like,0.01508837103912797
Beauty & Personal Care,works,0.013870078465359996
Beauty & Personal Care,skin,0.013628007374460205
Beauty & Personal Care,it's,0.012415023766010095
Beauty & Personal Care,nice,0.010789365496289394
Beauty & Personal Care,really,0.010407769002718099
Beauty & Personal Care,just,0.009991040440830918
Beauty & Personal Care,smell,0.009092427188383871
Beauty & Personal Care,best,0.009078278828903111
Beauty & Personal Care,easy,0.008978981550217681
Beauty & Personal Care,color,0.008962584446696262
Beauty & Personal Care,used,0.008949722252659506
Beauty & Personal Care,buy,0.00880118069300615
Beauty & Personal Care,smells,0.008578408139269888
Beauty & Personal Care,price,0.008563301512233275
Beauty & Personal Care,perfect,0.008296671492048994
Beauty & Personal Care,great product,0.008186370268116788
Sports & Outdoors,great,0.03212842068356443
Sports & Outdoors,stars,0.026797761664506144
Sports & Outdoors,good,0.02154962337025985
Sports & Outdoors,not,0.01811932204388822
Sports & Outdoors,quality,0.015086470997253128
Sports & Outdoors,product,0.013986037047576425
Sports & Outdoors,love,0.013934271238573713
Sports & Outdoors,easy,0.013593155584715981
Sports & Outdoors,nice,0.012528112162007252
Sports & Outdoors,perfect,0.012418571371651692
Sports & Outdoors,use,0.011959470514555542
Sports & Outdoors,works,0.011525738484730538
Sports & Outdoors,fit,0.011053433283605696
Sports & Outdoors,it's,0.010844316176317
Sports & Outdoors,like,0.010716808051480021
Sports & Outdoors,just,0.010497534091757361
Sports & Outdoors,price,0.01012366634452185
Sports & Outdoors,bag,0.008130427112580623
Sports & Outdoors,comfortable,0.00790541693545629
Sports & Outdoors,no,0.007778474743313773
Sports & Outdoors,water,0.007696353680408534
Sports & Outdoors,size,0.007676297204445651
Sports & Outdoors,work,0.007636064316310225
Sports & Outdoors,bought,0.0074100491733716444
Sports & Outdoors,really,0.007253891112956057
