group,word,mean_tfidf
Positive (4-5★),great,0.04003874589300169
Positive (4-5★),stars,0.03239886482466726
Positive (4-5★),good,0.02557713440414624
Positive (4-5★),love,0.020219968511019964
Positive (4-5★),product,0.017766550113836644
Positive (4-5★),easy,0.016530918133224062
Positive (4-5★),quality,0.016130720705698952
Positive (4-5★),perfect,0.015844468590450463
Positive (4-5★),nice,0.015412944176838094
Positive (4-5★),works,0.014967988821878811
Positive (4-5★),use,0.013327955228853763
Positive (4-5★),price,0.012189122285799735
Positive (4-5★),like,0.011936467714889378
Positive (4-5★),not,0.011757813938451085
Positive (4-5★),it's,0.011614605176589835
Positive (4-5★),just,0.011278326388901869
Positive (4-5★),fit,0.010621214318370292
Positive (4-5★),comfortable,0.008937848007984223
Positive (4-5★),great product,0.008913383822825548
Positive (4-5★),really,0.008454207473199504
Positive (4-5★),bag,0.008310086252811549
Positive (4-5★),stars great,0.008242740382689606
Positive (4-5★),little,0.007978751715821119
Positive (4-5★),awesome,0.007811332446814882
Positive (4-5★),water,0.007741151708399932
Negative (1-2★),not,0.05637164802599615
Negative (1-2★),broke,0.0182838747622125
Negative (1-2★),star,0.01633957306471278
Negative (1-2★),don't,0.014940202032385807
Negative (1-2★),use,0.014206054229357503
Negative (1-2★),no,0.013944671078552096
Negative (1-2★),money,0.013701351336963544
Negative (1-2★),product,0.013632447565658685
Negative (1-2★),cheap,0.013354093979327825
Negative (1-2★),small,0.012939822317732984
Negative (1-2★),disappointed,0.012473704446651126
Negative (1-2★),like,0.01245701673673286
Negative (1-2★),it's,0.011975537820854256
Negative (1-2★),buy,0.011913190872441463
Negative (1-2★),quality,0.01161974113700367
Negative (1-2★),work,0.011183454102779255
Negative (1-2★),just,0.011125911652913397
Negative (1-2★),waste,0.011047885646299514
Negative (1-2★),time,0.010824870704181755
Negative (1-2★),didn't,0.010740144620355524
Negative (1-2★),return,0.010562287800523165
Negative (1-2★),doesn't,0.010287151198851478
Negative (1-2★),poor,0.010119553850687187
Negative (1-2★),did,0.010033683326958484
Negative (1-2★),fit,0.009629712115844334
